"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|SE3"
"01.01.2023 00:00 - 01.01.2023 01:00","2.01","EUR"
"01.01.2023 01:00 - 01.01.2023 02:00","1.38","EUR"
"01.01.2023 02:00 - 01.01.2023 03:00","0.09","EUR"
"01.01.2023 03:00 - 01.01.2023 04:00","0.08","EUR"
"01.01.2023 04:00 - 01.01.2023 05:00","0.05","EUR"
"01.01.2023 05:00 - 01.01.2023 06:00","0.08","EUR"
"01.01.2023 06:00 - 01.01.2023 07:00","0.09","EUR"
"01.01.2023 07:00 - 01.01.2023 08:00","0.53","EUR"
"01.01.2023 08:00 - 01.01.2023 09:00","2.03","EUR"
"01.01.2023 09:00 - 01.01.2023 10:00","3.10","EUR"
"01.01.2023 10:00 - 01.01.2023 11:00","4.43","EUR"
"01.01.2023 11:00 - 01.01.2023 12:00","6.06","EUR"
"01.01.2023 12:00 - 01.01.2023 13:00","6.06","EUR"
"01.01.2023 13:00 - 01.01.2023 14:00","5.68","EUR"
"01.01.2023 14:00 - 01.01.2023 15:00","17.71","EUR"
"01.01.2023 15:00 - 01.01.2023 16:00","24.11","EUR"
"01.01.2023 16:00 - 01.01.2023 17:00","36.54","EUR"
"01.01.2023 17:00 - 01.01.2023 18:00","46.03","EUR"
"01.01.2023 18:00 - 01.01.2023 19:00","54.23","EUR"
"01.01.2023 19:00 - 01.01.2023 20:00","53.63","EUR"
"01.01.2023 20:00 - 01.01.2023 21:00","48.05","EUR"
"01.01.2023 21:00 - 01.01.2023 22:00","44.68","EUR"
"01.01.2023 22:00 - 01.01.2023 23:00","45.96","EUR"
"01.01.2023 23:00 - 02.01.2023 00:00","35.00","EUR"
"02.01.2023 00:00 - 02.01.2023 01:00","57.91","EUR"
"02.01.2023 01:00 - 02.01.2023 02:00","51.67","EUR"
"02.01.2023 02:00 - 02.01.2023 03:00","52.86","EUR"
"02.01.2023 03:00 - 02.01.2023 04:00","44.16","EUR"
"02.01.2023 04:00 - 02.01.2023 05:00","50.08","EUR"
"02.01.2023 05:00 - 02.01.2023 06:00","70.73","EUR"
"02.01.2023 06:00 - 02.01.2023 07:00","102.56","EUR"
"02.01.2023 07:00 - 02.01.2023 08:00","138.19","EUR"
"02.01.2023 08:00 - 02.01.2023 09:00","145.98","EUR"
"02.01.2023 09:00 - 02.01.2023 10:00","147.05","EUR"
"02.01.2023 10:00 - 02.01.2023 11:00","145.61","EUR"
"02.01.2023 11:00 - 02.01.2023 12:00","143.35","EUR"
"02.01.2023 12:00 - 02.01.2023 13:00","144.38","EUR"
"02.01.2023 13:00 - 02.01.2023 14:00","143.76","EUR"
"02.01.2023 14:00 - 02.01.2023 15:00","148.20","EUR"
"02.01.2023 15:00 - 02.01.2023 16:00","155.34","EUR"
"02.01.2023 16:00 - 02.01.2023 17:00","162.89","EUR"
"02.01.2023 17:00 - 02.01.2023 18:00","170.00","EUR"
"02.01.2023 18:00 - 02.01.2023 19:00","174.74","EUR"
"02.01.2023 19:00 - 02.01.2023 20:00","164.46","EUR"
"02.01.2023 20:00 - 02.01.2023 21:00","153.00","EUR"
"02.01.2023 21:00 - 02.01.2023 22:00","141.67","EUR"
"02.01.2023 22:00 - 02.01.2023 23:00","131.67","EUR"
"02.01.2023 23:00 - 03.01.2023 00:00","118.06","EUR"
"03.01.2023 00:00 - 03.01.2023 01:00","78.81","EUR"
"03.01.2023 01:00 - 03.01.2023 02:00","73.93","EUR"
"03.01.2023 02:00 - 03.01.2023 03:00","73.94","EUR"
"03.01.2023 03:00 - 03.01.2023 04:00","71.44","EUR"
"03.01.2023 04:00 - 03.01.2023 05:00","72.33","EUR"
"03.01.2023 05:00 - 03.01.2023 06:00","77.14","EUR"
"03.01.2023 06:00 - 03.01.2023 07:00","102.48","EUR"
"03.01.2023 07:00 - 03.01.2023 08:00","154.96","EUR"
"03.01.2023 08:00 - 03.01.2023 09:00","163.92","EUR"
"03.01.2023 09:00 - 03.01.2023 10:00","167.07","EUR"
"03.01.2023 10:00 - 03.01.2023 11:00","168.57","EUR"
"03.01.2023 11:00 - 03.01.2023 12:00","169.49","EUR"
"03.01.2023 12:00 - 03.01.2023 13:00","164.50","EUR"
"03.01.2023 13:00 - 03.01.2023 14:00","160.91","EUR"
